N,Iterations tridiagonal,Iterations dense
6,32,40
7,58,61
8,74,79
9,101,101
10,124,128
11,168,169
12,181,198
13,232,219
14,254,261
15,310,316
16,338,353
17,394,421
18,445,481
19,519,536
20,541,589
21,614,653
22,682,723
23,763,800
24,815,865
25,882,956
26,953,1020
27,1070,1126
28,1128,1213
29,1209,1264
30,1290,1378
31,1390,1492
32,1499,1614
33,1558,1717
34,1662,1815
35,1803,1931
36,1865,2035
37,1972,2153
38,2058,2281
39,2224,2444
40,2326,2549
41,2426,2679
42,2537,2804
43,2672,2942
44,2840,3118
45,2965,3242
46,3076,3429
47,3210,3607
48,3363,3734
49,3503,3919
50,3680,4080
51,3858,4175
52,3967,4444
53,4154,4612
54,4284,4806
55,4484,4994
56,4648,5173
57,4782,5352
58,4974,5537
59,5134,5749
60,5290,5979
61,5489,6101
62,5641,6373
63,5830,6605
64,6054,6870
65,6222,7049
66,6455,7292
67,6636,7555
68,6819,7775
69,7049,7920
70,7262,8193
71,7443,8499
72,7702,8635
73,7939,8984
74,8161,9234
75,8330,9525
76,8523,9738
77,8765,10044
78,9076,10297
79,9244,10579
80,9467,10858
81,9787,11126
82,10000,11402
83,10201,11732
84,10441,12077
85,10805,12293
86,10989,12518
87,11274,12960
88,11564,13227
89,11752,13515
90,12030,13890
91,12367,14189
92,12642,14504
93,12846,14835
94,13103,15124
95,13488,15577
96,13849,15849
97,14030,16198
98,14335,16612
